Level,GrammarPoint,Japanese,English
N3,たらいい・といい,たらいい,It would be nice if
N3,中,中,During
N3,の間に,の間に,While
N3,うちに,うちに,While
N3,ないうちに,ないうちに,Before it becomes
N3,べき,べき,Must
N3,べきではない,べきではない,Should not
N3,って,って,As for
N3, なかなか,なかなか,Very
N3,あまり,あまり,So much...that
N3,なかなか～ない,なかなか～ない,Not really
N3,によると・によれば,によると,According to
N3,によって・による,によって,By means of
N3,全く～ない,全く～ない,Not~at all
N3,ことだ,ことだ,Should
N3,そうだ ,そうだ,I heard that
N3,すると,すると,Having done...
N3,そうすると,そうすると,Having done that...
N3,のはXの方だ,のはXの方だ,It is...that...
N3,Noun＋型,Noun＋型,Model
N3,てごらん,てごらん,(Please) try to
N3,Particle + の,Particle + の,Combined particles
N3,である,である,Formal or literary だ
N3,ところが,ところが,Even so
N3,ところで,ところで,By the way
N3,ほど,ほど,The more
N3,ば〜ほど,ば〜ほど,The more…the more
N3,ほど～ない,ほど～ない,Is not as…as
N3,では・それでは・じゃあ,では,If so
N3,のに,のに,In order to
N3,ため(に),ため(に),For
N3,ために,ために,Due to
N3,という,という,Called
N3,ということだ,ということだ,I heard that
N3,というのは,というのは,~ Known as ~ is
N3,的,的,~ly・~like・~al
N3,もの・もん,もの,Because
N3,ものだ,ものだ,Supposed to
N3,最中に,最中に,In the middle of
N3,上で,上で,After
N3,おかげで,おかげで,Thanks to
N3,にもとづいて,にもとづいて,Based on
N3,点,点,Aspect
N3,なぜなら〜から,なぜなら〜から,Because
N3,こそ,こそ,For sure
N3,からこそ,からこそ,Emphasized because
N3,ばかり,ばかり,Just
N3,ばかりだ,ばかりだ,(Only) continue to
N3,ばかりに,ばかりに,Simply because
N3,ことがある,ことがある,Something is possible
N3,ことにする,ことにする,To decide on
N3,ことなの,ことなの,(A) is (Description of A)
N3,ことになる,ことになる,It will end up being
N3,～は～で有名,～は～で有名,Is famous for
N3,ことはない,ことはない,There is no need to
N3, ～と言っても,～と言っても,Although ~ might say t...
N3,といえば,といえば,Speaking of
N3,合う,合う,To do for one another
N3,に合わせて・に合った,に合わせて,In accordance with
N3,について,について,Concerning
N3,～(の)姿,～(の)姿,Figure
N3,と言える,と言える,Would or could say tha...
N3,ちゃんと・きちんと,ちゃんと,Properly
N3,そのため(に),そのため(に),For that reason
N3,その結果,その結果,As a result
N3,に比べて,に比べて,Compared to
N3,どんなに〜ても,どんなに〜ても,No matter how
N3,いくら〜でも,いくら〜でも,No matter how (much)
N3,〜かは〜によって違う,〜かは〜によって違う,Depends on
N3,かなり,かなり,Quite
N3,あまりに,あまりに,So much...that
N3,わけだ,わけだ,For that reason
N3,わけではない,わけではない,It doesn&#39;t mean that
N3,と同時に,と同時に,At the same time as
N3,ところだった ①,ところだった ①,Almost
N3,だって,だって,I heard/was said
N3,んだって,んだって,I heard that
N3,関係がある,関係がある,(Not) involved with
N3,に関する・に関して,に関する,Related to
N3,に対して,に対して,In contrast to
N3,くらい ②,くらい ②,To the extent that
N3,は～くらいです,は～くらいです,About the only
N3,さ - Interjection,さ - Interjec...,All right
N3,さ - Filler,さ - Filler,Like
N3,さ - Casual よ,さ - Casual よ,Casual よ
N3,それぞれ,それぞれ,Each
N3,まま(に),まま(に),As is
N3,そこで,そこで,Accordingly
N3,しかない,しかない,Have no choice but
N3,てもかまわない,てもかまわない,It doesn&#39;t matter if
N3,～ても～なくても,～ても～なくても,Whether ~ or not
N3,んじゃない,んじゃない,Don&#39;t
N3,わけがない,わけがない,There is no way
N3,としたら・とすれば・とすると,としたら,If it were the case that
N3,として,として,As (i.e. in the role of)
N3,にしては,にしては,(Even) considering
N3,にしても,にしても,Even though
N3,～というのは事実だ,～というのは事実だ,It is a fact that ~
N3,から言うと,から言うと,Speaking in terms of
N3,に取って,に取って,To
N3,ことから,ことから,From the fact that
N3,というより,というより,...is more of a... tha...
N3,はもちろん,はもちろん,Not only but also
N3,をはじめ,をはじめ,Not only...but also...
N3,て初めて,て初めて,For the first time
N3,さえ,さえ,Even
N3,さえ〜ば,さえ〜ば,If only…then
N3,たものだ,たものだ,Used to
N3,さて,さて,Well
N3,むしろ,むしろ,Rather
N3,つまり,つまり,In short
N3,即ち,即ち,In other words
N3,却って,却って,All the more
N3,まるで…ようだ,まるで…ようだ,It is entirely as if
N3,ような気がする,ような気がする,Have a feeling that
N3,とても～ない,とても～ない,Not ~ at all
N3,別に〜ない,別に〜ない,Not really
N3,ばかりでなく,ばかりでなく,Not only…but also
N3,ではなくて・じゃなくて,ではなくて,Not A but B
N3,だけでなく(て)～も,だけでなく(て)～も,Not only ~ but ~ also
N3,だけしか,だけしか,To emphasize &#39;~only&#39;
N3,は言うまでもない ①,は言うまでもない ①,It goes without saying...
N3,決して〜ない,決して〜ない,Never
N3,わけにはいかない,わけにはいかない,Cannot afford to
N3,〜ようとしない,〜ようとしない,Not willing to
N3,もしかしたら,もしかしたら,Perhaps
N3,たとえ〜ても,たとえ〜ても,Even if…is the case
N3,ことに,ことに,Extremely
N3,ことか,ことか,How…
N3,～かというと ①,～かというと ①,Why? Well...
N3,～かというと ②,～かというと ②,If you ask me...
N3,で言うと,で言うと,In
N3,～ずつ,～ずつ,One at a time
N3,ずっと ②,ずっと ②,By far
N3,だらけ,だらけ,Completely covered in
N3,もっとも,もっとも,Although
N3,再び,再び,Again
N3,み,み,~ness
N3,と同じくらい,と同じくらい,About the same as
N3,と同じで・と違って,と同じで,Like
N3,と並んで,と並んで,In line with
N3,に違いない,に違いない,There is no doubt that
N3,当たり,当たり,Per~
N3,に当たる,に当たる,Correspond to
N3,に限る,に限る,Nothing better than
N3,とは限らない,とは限らない,Not necessarily so
N3,めったに〜ない,めったに〜ない,Hardly
N3,割に,割に,Although
N3,Verb[volitional]とする,Verb[volitio...,Try to
N3,Verb[volitional] + としたが,Verb[volitio...,Tried to ~ but ~
N3,言うまでもない ②,言うまでもない ②,It goes without saying
N3,そうもない,そうもない,Very unlikely to
N3,ないことはない,ないことはない,Is not impossible
N3,なんか・なんて,なんか,Such as
N3,又〜も,又〜も,Moreover
N3,ついでに,ついでに,While you are at it
N3,と共に,と共に,Together with
N3,につれて,につれて,As…then
N3,直ちに,直ちに,At once
N3,たとたんに,たとたんに,The instant or moment
N3,おきに,おきに,Repeated at intervals
N3,たびに,たびに,Each time
N3,あるいは,あるいは,Or
N3,ながらも,ながらも,But
N3,において・における,において,In
N3,第一,第一,Start
N3,ますます,ますます,Increasingly
N3,一方だ,一方だ,More and more
N3,一方で,一方で,On the other hand
N3,遂に,遂に,Finally
N3,すでに,すでに,Already
N3,ずに,ずに,Without doing
N3,ずにはいられない,ずにはいられない,Cannot help doing some...
N3,なし,なし,Without
N3,あり,あり,Possibility
N3,考えられない,考えられない,Unthinkable
N3,必ずしも ,必ずしも,Not always
N3,連用形,連用形,Formal Conjunctive
N3,向き,向き,Suitable for
N3,向け,向け,Intended for
N3,上がる・上げる,上がる,Something is finished
N3,切る,切る,To do something comple...
N3,切れない,切れない,Being unable to finish...
N3,きり,きり,Only
N3,かけ,かけ,Half-
N3,にかけて,にかけて,Over (a period)
N3,たて,たて,Freshly ~ed
N3,込む ①,込む ①,To go into
N3,込む ②,込む ②,Remain
N3,ふりをする,ふりをする,To pretend
N3,できれば・できたら,できれば,If possible
N3,でよければ,でよければ,If it is alright
N3,次第,次第,As soon as
N3,とおり,とおり,In that way
N3,でもある,でもある,Be also
N3,どうしても,どうしても,Regardless of
N3,もしも～なら・もしも～でも,もしも～なら,If
N3,同士,同士,Fellow
N3,がたい,がたい,Hard to
N3,まさか,まさか,I never dreamed
N3,前者は・後者は,前者は,The former ~ the latter
N3,つい,つい,Accidentally
N3,せいで,せいで,Because of
N3,くせに,くせに,Even though
N3,がち,がち,Apt to do
N3,ぎみ,ぎみ,Looking
N3,っぽい,っぽい,-ish
N3,っぱなし,っぱなし,Leaving something in a...
N3,わざわざ,わざわざ,Expressly
N3,一体,一体,(What) the heck?
N3,折角,折角,With trouble
N3,っけ,っけ,What is…again?
N3,代わりに,代わりに,Instead of
N3,に代わって,に代わって,In place of
N3,どころか,どころか,Far from
N3,という理由で,という理由で,For (that) reason; on ...
N3,～は～となっている,～は～となっている,It is (has been)
N3,左右する,左右する,Influence
N2,得る・得る,得る,Is able to
N2,〜得ない,〜得ない,Unable to
N2,ざるを得ない,ざるを得ない,Can&#39;t help doing
N2,～ざる,～ざる,To not ~
N2,つもりで,つもりで,With the intention of ...
N2,どうせ,どうせ,Anyhow
N2,せめて,せめて,At least
N2,どうやら,どうやら,Apparently
N2,なにやら,なにやら,Something (or other)
N2,よりほかない,よりほかない,To have no choice but
N2,確かに,確かに,Surely
N2,一応 ①,一応 ①,Just in case
N2,一応 ②,一応 ②,more or less
N2,に相違ない,に相違ない,Without a doubt
N2,万が一,万が一,Just in case
N2,ようがない・ようもない,ようがない,There&#39;s no way to
N2,にほかならない,にほかならない,Nothing but
N2,っこない,っこない,There is no chance of
N2,それなら,それなら,Then
N2,ものなら①,ものなら①,If
N2,～を～に任せる,～を～に任せる,Leave 〜 up to
N2,活かす,活かす,To make use of (someth...
N2,おおよそ,おおよそ,Approximately
N2,まい,まい,Won&#39;t
N2,上,上,From the standpoint of
N2,上に,上に,As well
N2,以上 ②,以上 ②,Since
N2,以上に,以上に,More than
N2,途中に・途中で,途中に,On the way
N2,中を,中を,In
N2,を中心に,を中心に,Focused on
N2,その上,その上,Besides
N2,上は,上は,Once
N2,の下で,の下で,Under
N2,後(の) Noun,後(の) Noun,…left
N2,手前,手前,Before
N2,を巡って,を巡って,Concerning
N2,にわたって,にわたって,Across
N2,に沿って,に沿って,Along
N2,た末・の末,た末,After
N2,にしたがって,にしたがって,As
N2,に伴って・に伴い,に伴って,As
N2,につき,につき,Due to
N2,につけ,につけ,Whenever
N2,にかかわる,にかかわる,To relate to
N2,に向かって・に向けて,に向かって,Towards
N2,が気になる,が気になる,To be interested in
N2,に気をつける,に気をつける,Take care
N2,も構わず,も構わず,Without worrying about
N2,かねる,かねる,Cannot
N2,かねない,かねない,Might
N2,を除いて,を除いて,Except
N2,にかかわらず,にかかわらず,Regardless of
N2,にもかかわらず,にもかかわらず,Despite
N2,に限って,に限って,Particularly when
N2,に限らず,に限らず,Not just
N2,なお①,なお①,Still
N2,なお②,なお②,In addition
N2,限り,限り,As long as
N2,次第だ・次第で,次第だ,Depending on
N2,次第に,次第に,Gradually
N2,～てこそ,～てこそ,Only if
N2,を問わず,を問わず,Regardless of
N2,よりしかたがない,よりしかたがない,There is no choice but
N2,に越したことはない,に越したことはない,There is nothing bette...
N2,要するに,要するに,To sum up
N2,てからでないと,てからでないと,(Not) unless ~ cannot
N2,なくはない,なくはない,It&#39;s not that…
N2,ないことには～ない,ないことには～ない,Unless you do something
N2,ないではいられない,ないではいられない,Cannot help doing some...
N2,ねばならない,ねばならない,Must
N2,たまえ,たまえ,(Please) do!
N2,～のうち(で),～のうち(で),Of the
N2,つつ,つつ,While
N2,つつ(も),つつ(も),Even while ~ing
N2,に際して,に際して,On the occasion of
N2,際に,際に,When
N2,にあたり・にあたって,にあたり,When
N2,を契機に,を契機に,Lead to
N2,つつある,つつある,-ing
N2,～ところに・～ところへ,～ところに,At the time
N2,か〜ないかのうちに,か〜ないかのうちに,Right after
N2,がけに,がけに,On the way to
N2,ていては,ていては,If one keeps doing som...
N2,ところだった ②,ところだった ②,Was just about to do s...
N2,どころではない,どころではない,This is not the time for…
N2,ぶりに,ぶりに,For the first time in
N2,ては,ては,If
N2,ては〜ては,ては〜ては,Repeating action
N2,も又,も又,Too
N2,結果・の結果,結果,As a result of
N2,以来,以来,Since
N2,に先立ち,に先立ち,Before
N2,はたして,はたして,Wonder if ~ (really)?
N2,甲斐がある,甲斐がある,To be (not) worth
N2,やがて,やがて,Before long
N2,したがって,したがって,Therefore
N2,あげく,あげく,After
N2,きっかけ,きっかけ,Lead to
N2,にかけては,にかけては,When it comes to
N2,とっくに,とっくに,Already
N2,未だに,未だに,Still
N2,をもとに,をもとに,Based on
N2,からには,からには,As long as
N2,いつの間にか,いつの間にか,Suddenly
N2,一旦,一旦,Once …
N2,はもとより,はもとより,Not only... but also
N2,そうにない,そうにない,Unlikely to
N2,に反して,に反して,Go against
N2,逆に,逆に,On the contrary
N2,反面,反面,While
N2,抜く,抜く,All~
N2,抜きで,抜きで,Without
N2,いよいよ,いよいよ,At last
N2,ずに済む,ずに済む,Get by without doing s...
N2,に応じて,に応じて,Depending or based on
N2,を通じて・を通して,を通じて,Through
N2,に応えて,に応えて,In response to
N2,それとも,それとも,Or
N2,にしたら,にしたら,From the point of view of
N2,にしても～にしても,にしても～にしても,Regardless of whether
N2,としては,としては,As a
N2,としても,としても,Even if (we assume)
N2,それにしても,それにしても,Nevertheless
N2,ぬ,ぬ,Classical negative
N2,ことなく,ことなく,Without ~ing
N2,にて,にて,In
N2,には,には,In order to
N2,思うように,思うように,As one hopes
N2,かと思ったら・かと思うと,かと思ったら,Then again
N2,というものでもない,というものでもない,There is no guarantee ...
N2,と考えられる,と考えられる,Can be considered as
N2,という点から考えると,という点から考えると,From the standpoint of
N2,ということは,ということは,That means
N2,ふうに,ふうに,~ way
N2,という風に,という風に,As if to say
N2,ものの,ものの,Although
N2,というものだ,というものだ,Speaker&#39;s impression
N2,から見ると,から見ると,From the point of view of
N2,ところを見ると,ところを見ると,Judging from
N2,からすると・からすれば,からすると,Judging from
N2,からして,からして,Even...
N2,からといって,からといって,Just because
N2,そういえば,そういえば,Speaking of which
N2,お～願う,お～願う,Please
N2,～て頂戴,～て頂戴,Please do
N2,とか,とか,I heard that… somethin...
N2,〜ようではないか,〜ようではないか,Let&#39;s do something
N2,かのようだ,かのようだ,As if
N2,のではないだろうか,のではないだろうか,I think ... isn&#39;t it?
N2,て当然だ,て当然だ,Natural
N2,のも当然だ,のも当然だ,It is only natural that
N2,たった(の),たった(の),Only
N2,恐れがある,恐れがある,There is a risk or fea...
N2,おそらく,おそらく,Probably
N2,ものか,ものか,Definitely not
N2,おまけに,おまけに,In addition
N2,に決まっている,に決まっている,Surely
N2,ことになっている,ことになっている,To be expected to
N2,気,気,Feel like ~
N2,げ,げ,Seemingly
N2,ことだから,ことだから,It is exactly because
N2,ものだから,ものだから,Because
N2,ものですから・もので,ものですから,Because
N2,ものがある,ものがある,Strong judgement
N2,傾向がある,傾向がある,Tendency
N2,～に値する,～に値する,Be worthy of
N2,てしょうがない,てしょうがない,Extremely
N2,だけましだ,だけましだ,At least
N2,幸い・幸いなことに,幸い,Luckily
N2,ようでは・ようじゃ,ようでは,If
N2,さすが,さすが,as one would expect
N2,ことは〜が,ことは〜が,It is true...but
N2,更に,更に,Even more or further
N2,精々,精々,(At) most
N2,僅かに,僅かに,Only
N2,および,および,And
N2,たちまち,たちまち,Immediately
N2,いきなり,いきなり,For no reason
N2,といった,といった,Such as
N2,を込めて,を込めて,Full of
N2,に加えて,に加えて,Not only...but also
N2,何から何まで,何から何まで,Everything and anything
N2,は別として,は別として,Apart from
N2,だけに,だけに,As might be expected
N2,だけは,だけは,To do all that one can
N2,だけあって,だけあって,Is only natural
N2,何より,何より,Be glad
N2,何といっても,何といっても,By any account
N2,か何か,か何か,Or something
N2,てならない,てならない,Very
N2,のみならず,のみならず,Not only...but
N2,それなのに,それなのに,And yet
N2,いわゆる,いわゆる,What is called
N2,にすぎない,にすぎない,No more than
N2,も～ば～も,も～ば～も,…And…
N2,でしかない,でしかない,Merely
N2,てたまらない,てたまらない,Can&#39;t help but want to
N2,にせよ・にしろ,にせよ,Even if
N2,何しろ,何しろ,No wonder
N2,にしろ～にしろ,にしろ～にしろ,Whether… or
N2,はともかく,はともかく,Setting aside
N2,ならともかく,ならともかく,If it&#39;s (A)
N2,やら～やら,やら～やら,Whether or
N2,しかしながら,しかしながら,However
N2,ことにはならない,ことにはならない,Just because… doesn&#39;t ...
